iter	Passed	Remaining
902	24080	2586
903	24107	2560
904	24134	2533
905	24160	2506
906	24186	2480
907	24213	2453
908	24236	2426
909	24259	2399
910	24282	2372
911	24307	2345
912	24333	2318
913	24361	2292
914	24392	2265
915	24416	2239
916	24444	2212
917	24471	2185
918	24499	2159
919	24525	2132
920	24553	2106
921	24581	2079
922	24610	2053
923	24633	2026
924	24660	1999
925	24682	1972
926	24711	1945
927	24739	1919
928	24777	1893
929	24808	1867
930	24835	1840
931	24862	1813
932	24889	1787
933	24914	1760
934	24941	1733
935	24968	1707
936	24995	1680
937	25022	1653
938	25050	1627
939	25080	1600
940	25106	1574
941	25132	1547
942	25159	1520
943	25186	1494
944	25212	1467
945	25240	1440
946	25265	1414
947	25292	1387
948	25315	1360
949	25339	1333
950	25363	1306
951	25389	1280
952	25414	1253
953	25440	1226
954	25465	1199
955	25489	1173
956	25515	1146
957	25542	1119
958	25566	1093
959	25589	1066
960	25617	1039
961	25643	1012
962	25671	986
963	25693	959
964	25720	932
965	25745	906
966	25771	879
967	25798	852
968	25824	826
969	25849	799
970	25876	772
971	25903	746
972	25929	719
973	25957	692
974	25984	666
975	26012	639
976	26040	613
977	26068	586
978	26097	559
979	26126	533
980	26153	506
981	26181	479
982	26207	453
983	26233	426
984	26259	399
985	26286	373
986	26313	346
987	26339	319
988	26364	293
989	26388	266
990	26414	239
991	26440	213
992	26465	186
993	26491	159
994	26518	133
995	26545	106
996	26572	79
997	26598	53
998	26626	26
999	26654	0
